"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"gene:Solyc00g500183.1",22.5881207235744,-3.86030777403835,1.92633914372017,-2.00396061442394,0.0450742795977426,0.149303030360934,"gene:Solyc00g500183.1"
"gene:Solyc00g500184.1",41.9171853360194,-3.66952255512031,1.86064484587413,-1.97217785181157,0.0485893071055226,0.1575392555316,"gene:Solyc00g500184.1"
"gene:Solyc00g014800.1",18.5113816440773,-5.05617736135031,3.60407744177177,-1.40290474970057,0.160645244340543,0.364749270649161,"gene:Solyc00g014800.1"
"gene:Solyc00g500185.1",24.5116829389301,-2.83867397225807,1.66891788520036,-1.70090691545155,0.0889604678533592,0.243228976344376,"gene:Solyc00g500185.1"
"gene:Solyc00g094550.1",5.48577550879123,-4.27344335633945,2.30583241428405,-1.8533191440395,0.0638366288166361,0.192345225018031,"gene:Solyc00g094550.1"
"gene:Solyc00g094530.1",27.9597863566362,-5.91585712473971,1.95900534612173,-3.01982694251009,0.00252919154398051,0.0153303726928097,"gene:Solyc00g094530.1"
"gene:Solyc00g014790.2",66.7686510051014,-5.31596899536067,2.85076127503311,-1.86475417703958,0.0622158689558351,0.188771445593831,"gene:Solyc00g014790.2"
"gene:Solyc00g094520.1",28.9497158618466,-4.40784717601417,1.74536627286357,-2.52545683077876,0.01155479766331,0.0527133180729851,"gene:Solyc00g094520.1"
"gene:Solyc00g500187.1",23.7378550292445,-3.62449391415157,2.16291208687928,-1.6757472188253,0.0937877165746676,0.252738235216268,"gene:Solyc00g500187.1"
"gene:Solyc00g049210.1",24.47664194442,-3.00367930476553,2.56625173360424,-1.17045388238158,0.241818362774416,0.471385780062358,"gene:Solyc00g049210.1"
"gene:Solyc00g500186.1",42.7702082517994,-2.50704687470031,1.17747505194445,-2.12917196891794,0.0332400351481099,0.119422291088169,"gene:Solyc00g500186.1"
"gene:Solyc00g500188.1",29.4164549203291,-2.49149525683238,1.80798228514006,-1.37805291418514,0.168186951646283,0.375668759252757,"gene:Solyc00g500188.1"
"gene:Solyc00g500189.1",32.8670555336196,-4.06435027959689,1.86298047535082,-2.18163868777612,0.0291362092365096,0.10789850855461,"gene:Solyc00g500189.1"
"gene:Solyc00g160390.1",28.0387745455917,-2.89901521146522,2.1063265465747,-1.37633702437051,0.168717315259007,0.376262938002047,"gene:Solyc00g160390.1"
"gene:Solyc00g500194.1",1.05163948280005,1.27082231213038,2.73914328794918,0.46394882579577,0.642684410098987,0.812276556341874,"gene:Solyc00g500194.1"
"gene:Solyc00g500193.1",7.12572438761506,0.210885986850789,1.55439020123832,0.135671201917501,0.892081214722006,0.95574300952645,"gene:Solyc00g500193.1"
"gene:Solyc00g500190.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g500190.1"
"gene:Solyc00g500191.2",12.8043234302031,0.158838793418601,0.432808374220295,0.366995656460551,0.713622257943315,0.858183876320978,"gene:Solyc00g500191.2"
"gene:Solyc00g500195.1",2.06690106269523,-1.57758375254498,4.15674808826833,-0.379523540769147,0.704299126541622,0.852721452029212,"gene:Solyc00g500195.1"
"gene:Solyc00g500196.2",31.5949472301843,0.0713760924917187,0.212838888154253,0.335352684421041,0.737359055782907,0.872385269962174,"gene:Solyc00g500196.2"
"gene:Solyc00g500197.1",1.05806000635308,1.71750113906424,3.00001233513031,0.572498025742164,0.566984622975192,0.759484439887662,"gene:Solyc00g500197.1"
"gene:Solyc00g500202.1",7.65832612773846,0.073946309751798,1.18813109793176,0.0622375004580891,0.950373699313829,0.983626006343159,"gene:Solyc00g500202.1"
"gene:Solyc00g500201.1",10.1060506060088,-1.56037301066213,0.929821172418845,-1.67814312789089,0.0933191610879538,0.251817078269791,"gene:Solyc00g500201.1"
"gene:Solyc00g500203.1",31.4216238108093,1.53797301245083,0.329052956204007,4.67393768526824,2.95479018274766e-06,4.21066301837133e-05,"gene:Solyc00g500203.1"
"gene:Solyc00g500204.1",17.3260137814739,-0.883691642517345,0.438589173979003,-2.01485055935204,0.0439203096442337,0.146605012065323,"gene:Solyc00g500204.1"
"gene:Solyc00g500198.1",5.60836866002353,-1.45941281387126,1.15722026851415,-1.26113658184117,0.207259642601621,0.428728124921501,"gene:Solyc00g500198.1"
"gene:Solyc00g500199.1",38.5089478975696,1.16641206467278,0.195662112309894,5.96135884920526,2.50148943587734e-09,6.63690130262325e-08,"gene:Solyc00g500199.1"
"gene:Solyc00g500200.1",123.492816047822,-1.34058105997283,1.00091667419842,-1.33935330935158,0.180455681704513,0.393377128847216,"gene:Solyc00g500200.1"
"gene:Solyc00g500205.1",9.57720682076959,-0.989494091698553,0.866197043830281,-1.14234295619742,0.25331149238474,0.48493976574368,"gene:Solyc00g500205.1"
"gene:Solyc00g500207.1",3.16458551157609,-0.826358695627625,2.17020661994024,-0.380774202803963,0.703370802989629,0.852077743050717,"gene:Solyc00g500207.1"
"gene:Solyc00g500208.1",38.4616956637388,-1.91569935137406,0.96086802160064,-1.9937174599513,0.0461829401977656,0.152101348028492,"gene:Solyc00g500208.1"
"gene:Solyc00g500209.1",76.0026068706987,-2.66651181609258,1.08753599215105,-2.4518837402507,0.014211056865099,0.0620261333284107,"gene:Solyc00g500209.1"
"gene:Solyc00g500210.1",8.93722102667,-1.23092412724758,1.00517534550688,-1.22458646916659,0.22073106855596,0.4459777610094,"gene:Solyc00g500210.1"
"gene:Solyc00g500206.1",201.710783629703,-2.42541296954325,1.08775159427981,-2.22974894479387,0.025764114556614,0.0982683291182831,"gene:Solyc00g500206.1"
"gene:Solyc00g500211.1",4.13592657667728,-0.41596183705097,1.3455896915981,-0.309129773844321,0.757222811380734,0.884074601354707,"gene:Solyc00g500211.1"
"gene:Solyc00g500213.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g500213.1"
"gene:Solyc03g042550.2",0.805361793420773,2.96596343635851,4.29664140395847,0.690298109036045,0.490006736794542,NA,"gene:Solyc03g042550.2"
"gene:Solyc00g052530.2",1.17984510639183,-4.12408837945708,4.27709897593227,-0.964225612421833,0.334932826087948,0.569969103975402,"gene:Solyc00g052530.2"
"gene:Solyc00g500216.2",19.8184763795192,1.19286407762109,1.35399466719898,0.880996141653037,0.378319908328774,0.609781940430071,"gene:Solyc00g500216.2"
"gene:Solyc00g500224.1",20.4964977696427,0.406275522632058,2.6009198244715,0.15620455456162,0.875871786785294,0.947942463452548,"gene:Solyc00g500224.1"
"gene:Solyc00g500225.1",17.8601315655707,-2.57718195238079,1.19551031774301,-2.15571703073732,0.0311057675065101,0.113556494892375,"gene:Solyc00g500225.1"
